"PrimaryKey","InformationSubmissionQuarter","ProjectName","ProjectStatus","FundingStatus","ProcurementType","ProjectRegion","ProjectCityTown","CommissionAssignedInfrastructureSector","EstimatedProjectValueRange","EstimatedQuarterBusinessCaseStart","EstimatedQuarterBusinessCaseCompletion","EstimatedQuarterConstructionStart","EstimatedQuarterConstructionCompletion","EstimatedQuarterProjectRangeStart","EstimatedQuarterProjectRangeCompletion","complete","completedonorbefore","total_delay","planned_duration","actual_duration","delay_ratio","budget_min","budget_max","funding_status_indicator","project_status_indicator","completed_on_time","ProjectRegionCode","GDP_Start","CPI_Start","GDP_End","CPI_End","GDP_Delta_Percent","CPI_Delta_Percent"
"kaOrProject_431","2024-Q3","Fawn St  & Calliope Cres , (EPCCNEA) Cannons Creek, Porirua","In procurement","Funding source confirmed","Limited","Wellington","Cannons Creek","Social","5 - 25 million",2022-04-01,NA,NA,2025-01-01,2020-04-01,2025-01-01,1,1,0,1736,1736,0,5,25,1,0,1,18,64.568,2.534113,70.23492,2.514151,8.77666955767564,-0.787731249553593
"kaOrProject_440","2024-Q3","Guerin St  & , Kaikohe, Far North","In planning","Funding source confirmed","To be determined","Northland",NA,"Social","5 - 25 million",NA,NA,NA,2026-01-01,2019-10-01,2026-01-01,1,1,0,2284,2284,0,5,25,1,1,1,10,64.868,1.464844,72.54655,2.100296,11.8371924523648,43.3801824631155
"kaOrProject_443","2024-Q3","Bisset Rd , Kaikohe, Far North","In planning","Funding source confirmed","To be determined","Northland",NA,"Social","< 1 million",NA,NA,NA,2026-01-01,2019-10-01,2026-01-01,1,1,0,2284,2284,0,1,1,1,1,1,10,64.868,1.464844,72.54655,2.100296,11.8371924523648,43.3801824631155
"kaOrProject_447","2024-Q3","Purdy St , Kaikohe, Far North","In planning","Funding source confirmed","To be determined","Northland",NA,"Social","1 - 5 million",NA,NA,NA,2025-10-01,2019-10-01,2025-10-01,1,1,0,2192,2192,0,1,5,1,1,1,10,64.868,1.464844,71.97811,2.149748,10.9608898069927,46.7561050869581
"kaOrProject_455","2024-Q3","New North Rd , Mt Albert, Auckland","In procurement","Funding source confirmed","Limited","Auckland","Mount Albert","Social","25 - 50 million",2022-07-01,NA,NA,2026-10-01,2019-10-01,2026-10-01,1,1,0,2557,2557,0,25,50,1,0,1,1,64.868,1.464844,74.1876,2.0319,14.3670222605908,38.7110163266532
"kaOrProject_463","2024-Q3","Elm St  & Racecourse Parade , Avondale, Auckland","In procurement","Funding source confirmed","To be determined","Auckland","Avondale","Social","100 - 250 million",2022-04-01,NA,NA,2027-01-01,2018-04-01,2027-01-01,1,1,0,3197,3197,0,100,250,1,0,1,1,61.946,1.1,74.70523,2.022161,20.5973428469958,83.8328181818182
"kaOrProject_464","2024-Q3","Parkdale Cres  & , Kaitaia, Far North","Under construction","Fully funded","Direct","Northland",NA,"Social","1 - 5 million",2022-07-01,NA,2024-04-01,2025-04-01,2019-10-01,2025-04-01,1,1,0,2009,2009,0,1,5,0,0,1,10,64.868,1.464844,70.79394,2.389024,9.13538262317323,63.0906772325244
"kaOrProject_467","2024-Q3","Brandon Road , Glen Eden, Auckland","In procurement","Funding source confirmed","To be determined","Auckland","Glen Eden","Social","25 - 50 million",2022-07-01,NA,NA,2025-07-01,2018-10-01,2025-07-01,1,1,0,2465,2465,0,25,50,1,0,1,1,62.727,1.901299,71.39126,2.23914,13.8126484607904,17.7689569078824
"kaOrProject_469","2024-Q3","Nga Kumikumi (Arlington &, Mt Cook, Wellington)","In procurement","Funding source confirmed","To be determined","Wellington",NA,"Social","250 - 500 million",2021-10-01,NA,NA,2027-10-01,2018-07-01,2027-10-01,1,1,0,3379,3379,0,250,500,1,0,1,18,62.626,1.5,76.22636,2.002692,21.7167949413981,33.5128
"kaOrProject_471","2024-Q3","Dido Pl  & Calliope Cres  AE (EPCCNEA), Cannons Creek, Porirua","In procurement","Funding source confirmed","Limited","Wellington","Cannons Creek","Social","5 - 25 million",2022-07-01,NA,NA,2025-01-01,2020-07-01,2025-01-01,1,1,0,1645,1645,0,5,25,1,0,1,18,58.01,1.453488,70.23492,2.514151,21.073814859507,72.9736330812501
"kaOrProject_472","2024-Q3","Hendon Ave  &  (OWA), Owairaka, Auckland","In planning","Funding source confirmed","To be determined","Auckland","Mount Albert","Social","1 - 5 million",NA,NA,NA,2025-10-01,2020-04-01,2025-10-01,1,1,0,2009,2009,0,1,5,1,1,1,1,64.568,2.534113,71.97811,2.149748,11.4764434394747,-15.167634592459
"kaOrProject_478","2024-Q3","Edinburgh Avenue , Rosehill, Papakura","Under construction","Fully funded","To be determined","Auckland","Rosehill","Social","5 - 25 million",2022-04-01,NA,2024-01-01,2025-01-01,2020-10-01,2025-01-01,1,1,0,1553,1553,0,5,25,0,0,1,1,66.175,1.443696,70.23492,2.514151,6.13512655836797,74.1468425485698
"kaOrProject_479","2024-Q3","Hendon Avenue  & Hargest Terrace , Mount Albert, Auckland  (OW)","Under construction","Fully funded","Limited","Auckland","Mount Albert","Social","5 - 25 million",2021-10-01,NA,2022-10-01,2024-07-01,2020-04-01,2024-07-01,1,1,0,1552,1552,0,5,25,0,0,1,1,64.568,2.534113,69.52124,3.42672,7.67135423119813,35.2236463014869
"kaOrProject_481","2024-Q3","Owairaka Ave  &  (OW), Owairaka, Auckland","In planning","Funding source confirmed","To be determined","Auckland","Mount Albert","Social","1 - 5 million",NA,NA,NA,2026-01-01,2020-04-01,2026-01-01,1,1,0,2101,2101,0,1,5,1,1,1,1,64.568,2.534113,72.54655,2.100296,12.3568176186346,-17.1190866389936
"kaOrProject_482","2024-Q3","Sussex Street  & Grove Road  & , Mayfair, Hastings","Under construction","Fully funded","Direct","Hawke's Bay","Mayfair","Social","5 - 25 million",2023-10-01,NA,2024-04-01,2025-04-01,2019-04-01,2025-04-01,1,1,0,2192,2192,0,5,25,0,0,1,5,64.14,1.48368,70.79394,2.389024,10.3740879326473,61.0201660735468
"kaOrProject_486","2024-Q3","Puroto Street AA, Meadowbank, Auckland","Under construction","Fully funded","To be determined","Auckland","Meadowbank","Social","5 - 25 million",2023-04-01,NA,2023-07-01,2024-07-01,2019-10-01,2024-07-01,1,1,0,1735,1735,0,5,25,0,0,1,1,64.868,1.464844,69.52124,3.42672,7.17339828574954,133.930712075825
"kaOrProject_487","2024-Q3","Lynton Road , Mount Wellington, Auckland","In planning","Funding source confirmed","To be determined","Auckland","Mt Wellington","Social","25 - 50 million",NA,NA,NA,2025-10-01,2019-01-01,2025-10-01,1,1,0,2465,2465,0,25,50,1,1,1,1,63.672,1.888668,71.97811,2.149748,13.0451532855886,13.8234988891642
"kaOrProject_490","2024-Q3","Beauchamp Dr  & Reverie Pl , Massey, Auckland","In procurement","Funding source confirmed","To be determined","Auckland","Massey","Social","25 - 50 million",2022-01-01,NA,NA,2026-10-01,2015-10-01,2026-10-01,1,1,0,4018,4018,0,25,50,1,0,1,1,56.661,0.417014,74.1876,2.0319,30.9323873563827,387.249828542927
"kaOrProject_493","2024-Q3","Haukore Street , Hairini, Tauranga","Under construction","Fully funded","Direct","Bay of Plenty","Hairini","Social","1 - 5 million",2022-04-01,NA,2023-10-01,2025-01-01,2019-01-01,2025-01-01,1,1,0,2192,2192,0,1,5,0,0,1,2,63.672,1.888668,70.23492,2.514151,10.3073878627968,33.1176787026624
"kaOrProject_495","2024-Q3","Allen Bell Dr  & , Kaitaia, Far North","In planning","Funding source confirmed","To be determined","Northland",NA,"Social","25 - 50 million",NA,NA,NA,2026-04-01,2020-07-01,2026-04-01,1,1,0,2100,2100,0,25,50,1,1,1,10,58.01,1.453488,73.10828,2.067911,26.0270298224444,42.2723132217122
"kaOrProject_498","2024-Q3","William Blofield Ave  & Sandringham Rd Ext , Wesley, Auckland","Under construction","Fully funded","Limited","Auckland","Mount Roskill","Social","25 - 50 million",2022-01-01,NA,2023-04-01,2025-04-01,2019-01-01,2025-04-01,1,1,0,2282,2282,0,25,50,0,0,1,1,63.672,1.888668,70.79394,2.389024,11.1853562005277,26.4925333621367
"kaOrProject_502","2024-Q3","Kain St  (OL), Mt Eden, Auckland","In procurement","Funding source confirmed","To be determined","Auckland","Mount Eden","Social","5 - 25 million",2021-10-01,NA,NA,2025-01-01,2020-10-01,2025-01-01,1,1,0,1553,1553,0,5,25,1,0,1,1,66.175,1.443696,70.23492,2.514151,6.13512655836797,74.1468425485698
"kaOrProject_503","2024-Q3","Great North Road AB & Cadman Avenue , Waterview, Auckland","Under construction","Fully funded","Limited","Auckland","Waterview","Social","25 - 50 million",2022-04-01,NA,2023-07-01,2025-04-01,2017-01-01,2025-04-01,1,1,0,3012,3012,0,25,50,0,0,1,1,59.225,1.335559,70.79394,2.389024,19.5338792739553,78.8782075520438
"kaOrProject_504","2024-Q3","Roscommon Road , Clendon Park, Auckland","In procurement","Funding source confirmed","To be determined","Auckland","Clendon Park","Social","25 - 50 million",2022-04-01,NA,NA,2025-10-01,2020-07-01,2025-10-01,1,1,0,1918,1918,0,25,50,1,0,1,1,58.01,1.453488,71.97811,2.149748,24.0787967591795,47.9027002630913
"kaOrProject_507","2024-Q3","Endeavour Avenue , Flagstaff, Hamilton","In planning","Funding source confirmed","To be determined","Waikato",NA,"Social","25 - 50 million",NA,NA,NA,2026-07-01,2018-07-01,2026-07-01,1,1,0,2922,2922,0,25,50,1,1,1,16,62.626,1.5,73.65541,2.048457,17.6115511129563,36.5638
"kaOrProject_511","2024-Q3","Hendon Ave , Owairaka, Auckland (SL)  HLC","In procurement","Funding source confirmed","Direct","Auckland","Mount Albert","Social","25 - 50 million",2022-04-01,NA,NA,2026-07-01,2019-07-01,2026-07-01,1,1,0,2557,2557,0,25,50,1,0,1,1,64.324,1.674877,73.65541,2.048457,14.5068870095143,22.3049214957277
"kaOrProject_513","2024-Q3","Collins Road , Melville (Te Mauri Paihere Ki Mangakootukutuku), Hamilton  (TH) OSM","In procurement","Funding source confirmed","Limited","Waikato",NA,"Social","25 - 50 million",NA,NA,NA,2026-01-01,2018-10-01,2026-01-01,1,1,0,2649,2649,0,25,50,1,0,1,16,62.727,1.901299,72.54655,2.100296,15.6544231351731,10.4663706234527
"kaOrProject_519","2024-Q3","Ruapehu St , Paraparaumu, Kapiti","Under construction","Fully funded","To be determined","Wellington",NA,"Social","1 - 5 million",2021-10-01,NA,2024-01-01,2024-07-01,2020-10-01,2024-07-01,1,1,0,1369,1369,0,1,5,0,0,1,18,66.175,1.443696,69.52124,3.42672,5.056652814507,137.357449213685
"kaOrProject_522","2024-Q3","Cottrell Crescent , Onekawa, Napier","Under construction","Fully funded","Limited","Hawke's Bay","Onekawa","Social","5 - 25 million",2022-07-01,NA,2024-01-01,2025-01-01,2021-04-01,2025-01-01,1,1,0,1371,1371,0,5,25,0,0,1,5,67.481,1.520913,70.23492,2.514151,4.08103021591264,65.3053790716497
"kaOrProject_523","2024-Q3","Jordan Ave  & Mt Smart Rd , Onehunga (North)","In planning","Funding source confirmed","To be determined","Auckland","Onehunga","Social","100 - 250 million",NA,NA,NA,2028-04-01,2012-04-01,2028-04-01,1,1,0,5844,5844,0,100,250,1,1,1,1,50.883,1.570681,77.22976,1.996746,51.7791010750152,27.1261319134821
"kaOrProject_524","2024-Q3","Beatty Place  & Hood Street , Mayfair, Hastings","Under construction","Fully funded","Limited","Hawke's Bay","Mayfair","Social","5 - 25 million",2024-01-01,NA,2024-04-01,2025-04-01,2019-07-01,2025-04-01,1,1,0,2101,2101,0,5,25,0,0,1,5,64.324,1.674877,70.79394,2.389024,10.0583607984578,42.6387728770531
"kaOrProject_527","2024-Q3","Haukore Street , Hairini, Tauranga","In procurement","Funding source confirmed","To be determined","Bay of Plenty","Hairini","Social","5 - 25 million",2023-01-01,NA,2024-04-01,2025-04-01,2019-01-01,2025-04-01,1,1,0,2282,2282,0,5,25,1,0,1,2,63.672,1.888668,70.79394,2.389024,11.1853562005277,26.4925333621367
"kaOrProject_534","2024-Q3","Albrecht Ave  & Quona Ave  (WK), Waikowhai, Auckland, HLC","In planning","Funding source confirmed","To be determined","Auckland","Mount Roskill","Social","1 - 5 million",NA,NA,NA,2026-04-01,2020-04-01,2026-04-01,1,1,0,2191,2191,0,1,5,1,1,1,1,64.568,2.534113,73.10828,2.067911,13.2267996530789,-18.397048592545
"kaOrProject_536","2024-Q3","Wairau Avenue  & A & Riversdale Road , Avondale, Auckland","In procurement","Funding source confirmed","Limited","Auckland","Avondale","Social","5 - 25 million",2022-04-01,NA,NA,2025-04-01,2020-04-01,2025-04-01,1,1,0,1826,1826,0,5,25,1,0,1,1,64.568,2.534113,70.79394,2.389024,9.64245446660886,-5.72543529037577
"kaOrProject_537","2024-Q3","Leaver Place ,  & Mahia Road , Weymouth, Auckland","Under construction","Fully funded","To be determined","Auckland","Weymouth","Social","5 - 25 million",2023-01-01,NA,2023-07-01,2024-07-01,2020-01-01,2024-07-01,1,1,0,1643,1643,0,5,25,0,0,1,1,65.376,1.853659,69.52124,3.42672,6.3406142927068,84.8624801001695
"kaOrProject_540","2024-Q3","Kowhai Ave , Kaikohe, Far North","In procurement","Funding source confirmed","Limited","Northland",NA,"Social","1 - 5 million",2022-04-01,NA,NA,2025-07-01,2019-10-01,2025-07-01,1,1,0,2100,2100,0,1,5,1,0,1,10,64.868,1.464844,71.39126,2.23914,10.0562064500216,52.8585979121326
"kaOrProject_543","2024-Q3","Harper Street , Liddy Place  & , Papakura, Auckland","Under construction","Fully funded","To be determined","Auckland",NA,"Social","5 - 25 million",2022-07-01,NA,2023-04-01,2024-07-01,2021-04-01,2024-07-01,1,1,0,1187,1187,0,5,25,0,0,1,1,67.481,1.520913,69.52124,3.42672,3.02342881700036,125.306772971235
"kaOrProject_545","2024-Q3","Pembrook Street , Papakura, Auckland","Under construction","Fully funded","To be determined","Auckland",NA,"Social","1 - 5 million",2022-10-01,NA,NA,2024-07-01,2021-04-01,2024-07-01,1,1,0,1187,1187,0,1,5,0,0,1,1,67.481,1.520913,69.52124,3.42672,3.02342881700036,125.306772971235
"kaOrProject_546","2024-Q3","Waiari Road , Conifer Grove, Takanini","Under construction","Fully funded","To be determined","Auckland","Conifer Grove","Social","1 - 5 million",2022-04-01,NA,2024-01-01,2024-10-01,2021-04-01,2024-10-01,1,1,0,1279,1279,0,1,5,0,0,1,1,67.481,1.520913,69.83852,2.715554,3.49360560750435,78.5476223820824
"kaOrProject_550","2024-Q3","Venables Avenue , Cornford Place  & Cottrell Crescent , Onekawa, Napier","Under construction","Fully funded","To be determined","Hawke's Bay","Onekawa","Social","5 - 25 million",2022-07-01,NA,2023-10-01,2025-01-01,2018-04-01,2025-01-01,1,1,0,2467,2467,0,5,25,0,0,1,5,61.946,1.1,70.23492,2.514151,13.3808801213961,128.559181818182
"kaOrProject_561","2024-Q3","Oxford Tce , Avalon, Lower Hutt","Under construction","Fully funded","To be determined","Wellington","Avalon","Social","1 - 5 million",2022-07-01,NA,2024-01-01,2024-07-01,2019-07-01,2024-07-01,1,1,0,1827,1827,0,1,5,0,0,1,18,64.324,1.674877,69.52124,3.42672,8.07978359554755,104.595322522191
"kaOrProject_568","2024-Q3","Bledisloe Road , Maraenui, Napier","In procurement","Funding source confirmed","To be determined","Hawke's Bay","Maraenui","Social","5 - 25 million",2023-10-01,NA,NA,2025-01-01,2020-10-01,2025-01-01,1,1,0,1553,1553,0,5,25,1,0,1,5,66.175,1.443696,70.23492,2.514151,6.13512655836797,74.1468425485698
"kaOrProject_569","2024-Q3","Bledisloe Road , Maraenui, Napier","In procurement","Funding source confirmed","To be determined","Hawke's Bay","Maraenui","Social","5 - 25 million",2023-10-01,NA,NA,2025-07-01,2020-10-01,2025-07-01,1,1,0,1734,1734,0,5,25,1,0,1,5,66.175,1.443696,71.39126,2.23914,7.88252361163582,55.0977491106161
"kaOrProject_570","2024-Q3","Cottrell Crescent , Onekawa, Napier","Under construction","Fully funded","Limited","Hawke's Bay","Onekawa","Social","5 - 25 million",2022-07-01,NA,2024-04-01,2024-10-01,2018-04-01,2024-10-01,1,1,0,2375,2375,0,5,25,0,0,1,5,61.946,1.1,69.83852,2.715554,12.7409679398186,146.868545454545
"kaOrProject_573","2024-Q3","Northcote N.  Superlot:  Cadness Street , Northccote, Auckland  (Stage )","Under construction","Fully funded","Limited","Auckland","Northcote","Social","25 - 50 million",2022-04-01,NA,2022-10-01,2025-01-01,2017-01-01,2025-01-01,1,1,0,2922,2922,0,25,50,0,0,1,1,59.225,1.335559,70.23492,2.514151,18.5899873364289,88.2470935391099
"kaOrProject_590","2024-Q3","Venables Ave  & McLaren Cres , Onekawa, Napier","Under construction","Fully funded","To be determined","Hawke's Bay","Onekawa","Social","5 - 25 million",2022-10-01,NA,2023-10-01,2024-10-01,2020-10-01,2024-10-01,1,1,0,1461,1461,0,5,25,0,0,1,5,66.175,1.443696,69.83852,2.715554,5.53610880241784,88.0973556759872
"kaOrProject_592","2024-Q3","Kettle Street , Point Chevalier, Auckland","Under construction","Fully funded","To be determined","Auckland","Point Chevalier","Social","5 - 25 million",2022-04-01,NA,2023-10-01,2024-10-01,2021-04-01,2024-10-01,1,1,0,1279,1279,0,5,25,0,0,1,1,67.481,1.520913,69.83852,2.715554,3.49360560750435,78.5476223820824
"kaOrProject_597","2024-Q3","School Rd A, Morningside, Auckland","In planning","Funding source confirmed","Limited","Auckland","Kingsland","Social","25 - 50 million",NA,NA,NA,2026-04-01,2020-10-01,2026-04-01,1,1,0,2008,2008,0,25,50,1,1,1,1,66.175,1.443696,73.10828,2.067911,10.4771892708727,43.2372881825537
"kaOrProject_598","2024-Q3","Church St , Hokowhitu, Palmerston North","In procurement","Funding source confirmed","To be determined","Manawatū - Whanganui",NA,"Social","25 - 50 million",2022-07-01,NA,NA,2026-01-01,2020-01-01,2026-01-01,1,1,0,2192,2192,0,25,50,1,0,1,6,65.376,1.853659,72.54655,2.100296,10.9681687469408,13.3054137789097
"kaOrProject_605","2024-Q3","Great North Rd , Grey Lynn, Auckland","In planning","Funding source confirmed","To be determined","Auckland","Grey Lynn","Social","50 - 100 million",NA,NA,NA,2027-07-01,2018-01-01,2027-07-01,1,1,0,3468,3468,0,50,100,1,1,1,1,61.43,1.594399,75.72233,2.008215,23.2660426501709,25.9543564691147
"kaOrProject_606","2024-Q3","Endeavour St , Lyall Bay, Wellington","In procurement","Funding source confirmed","Limited","Wellington","Lyall Bay","Social","5 - 25 million",2022-07-01,NA,NA,2025-10-01,2019-07-01,2025-10-01,1,1,0,2284,2284,0,5,25,1,0,1,18,64.324,1.674877,71.97811,2.149748,11.8993066351595,28.3525894737345
"kaOrProject_607","2024-Q3","Rugby St  & Raleigh St A  , Awapuni, Palmerston North","In procurement","Funding source confirmed","To be determined","Manawatū - Whanganui","Awapuni","Social","25 - 50 million",2022-07-01,NA,NA,2026-01-01,2020-07-01,2026-01-01,1,1,0,2010,2010,0,25,50,1,0,1,6,58.01,1.453488,72.54655,2.100296,25.0586967764179,44.5004017921029
"kaOrProject_609","2024-Q3","Strathmore Ave , Strathmore Park, Wellington","Under construction","Fully funded","To be determined","Wellington","Strathmore Park","Social","5 - 25 million",2022-07-01,NA,2024-01-01,2024-10-01,2020-04-01,2024-10-01,1,1,0,1644,1644,0,5,25,0,0,1,18,64.568,2.534113,69.83852,2.715554,8.16274315450379,7.15994117073706
"kaOrProject_610","2024-Q3","Calliope Cres , Castor Cres  & Hazard Grv ,  &  (CCNEAABC), Cannons Creek, Porirua","In procurement","Funding source confirmed","To be determined","Wellington","Cannons Creek","Social","5 - 25 million",2022-07-01,NA,NA,2025-01-01,2019-07-01,2025-01-01,1,1,0,2011,2011,0,5,25,1,0,1,18,64.324,1.674877,70.23492,2.514151,9.18929171071451,50.1095901370668
"kaOrProject_612","2024-Q3","Weymouth Road , Weymouth, Auckland","In planning","Funding source confirmed","To be determined","Auckland","Weymouth","Social","25 - 50 million",NA,NA,NA,2026-04-01,2020-01-01,2026-04-01,1,1,0,2282,2282,0,25,50,1,1,1,1,65.376,1.853659,73.10828,2.067911,11.8273984336759,11.5583286893652
"kaOrProject_613","2024-Q3","Rowlands Ave  & Waipuna Rd  & , Mt Wellington, Auckland","In planning","Funding source confirmed","To be determined","Auckland","Mt Wellington","Social","250 - 500 million",NA,NA,NA,2028-04-01,2019-01-01,2028-04-01,1,1,0,3378,3378,0,250,500,1,1,1,1,63.672,1.888668,77.22976,1.996746,21.2931272772961,5.72244566011601
"kaOrProject_615","2024-Q3","Osterley Way , Manukau, Auckland","In planning","Funding source confirmed","To be determined","Auckland","Papatoetoe","Social","100 - 250 million",NA,NA,NA,2027-04-01,2019-10-01,2027-04-01,1,1,0,2739,2739,0,100,250,1,1,1,1,64.868,1.464844,75.21558,2.014421,15.9517481655053,37.5177834636316
"kaOrProject_619","2024-Q3","Ranolf St , Rotorua","Under construction","Fully funded","To be determined","Bay of Plenty","Glenholme","Social","25 - 50 million",2022-01-01,NA,2022-01-01,2024-10-01,2021-04-01,2024-10-01,1,1,0,1279,1279,0,25,50,0,0,1,2,67.481,1.520913,69.83852,2.715554,3.49360560750435,78.5476223820824
"kaOrProject_633","2024-Q3","Roskill South  MRRSB","Under construction","Fully funded","To be determined","Auckland","Mount Roskill","Social","< 1 million",NA,NA,2021-01-01,2024-10-01,2021-01-01,2024-10-01,1,1,0,1369,1369,0,1,1,0,0,1,1,66.279,1.436782,69.83852,2.715554,5.37050951281704,89.0025069913181
"kaOrProject_639","2024-Q3","Northcote  NCNC","Under construction","Fully funded","To be determined","Auckland","Northcote","Social","1 - 5 million",NA,NA,2021-04-01,2025-04-01,2021-04-01,2025-04-01,1,1,0,1461,1461,0,1,5,0,0,1,1,67.481,1.520913,70.79394,2.389024,4.90944117603475,57.0782812692113
"kaOrProject_640","2024-Q3","Northcote  NCNC","Under construction","Fully funded","To be determined","Auckland","Northcote","Social","1 - 5 million",NA,NA,2021-04-01,2025-04-01,2021-04-01,2025-04-01,1,1,0,1461,1461,0,1,5,0,0,1,1,67.481,1.520913,70.79394,2.389024,4.90944117603475,57.0782812692113
"kaOrProject_652","2024-Q3","Owairaka  MROWA","Under construction","Fully funded","To be determined","Auckland","Mount Albert","Social","< 1 million",NA,NA,2021-07-01,2025-07-01,2021-07-01,2025-07-01,1,1,0,1461,1461,0,1,1,0,0,1,1,68.294,3.342884,71.39126,2.23914,4.53518610712509,-33.017717635431
"kaOrProject_726","2024-Q3","Justine St  (EPCCSE ), Cannons Creek, Porirua (OSM)","In procurement","Funding source confirmed","To be determined","Wellington","Cannons Creek","Social","1 - 5 million",2022-07-01,NA,2023-07-01,2024-10-01,2021-07-01,2024-10-01,1,1,0,1188,1188,0,1,5,1,0,1,18,68.294,3.342884,69.83852,2.715554,2.26157495534016,-18.7661312806547
"kaOrProject_729","2024-Q3","Kingsway Ave , Sandringham Auckland","Under construction","Fully funded","To be determined","Auckland","Sandringham","Social","1 - 5 million",2022-07-01,NA,2024-01-01,2024-07-01,2021-07-01,2024-07-01,1,1,0,1096,1096,0,1,5,0,0,1,1,68.294,3.342884,69.52124,3.42672,1.79699534366124,2.5078943810195
"kaOrProject_731","2024-Q3","Broadway  & Tawanui Rd , Kaikohe","In planning","Funding source confirmed","To be determined","Northland",NA,"Social","1 - 5 million",NA,NA,NA,2025-04-01,2021-07-01,2025-04-01,1,1,0,1370,1370,0,1,5,1,1,1,10,68.294,3.342884,70.79394,2.389024,3.66055583213754,-28.5340442563966
"kaOrProject_732","2024-Q3","Triton Ave  & Tyburnia , Owairaka","In procurement","Funding source confirmed","To be determined","Auckland","Mount Albert","Social","5 - 25 million",2022-07-01,NA,NA,2024-10-01,2021-07-01,2024-10-01,1,1,0,1188,1188,0,5,25,1,0,1,1,68.294,3.342884,69.83852,2.715554,2.26157495534016,-18.7661312806547
"kaOrProject_747","2024-Q3","Astrolabe St  (EPCCSE), Cannons Creek Porirua","In procurement","Funding source confirmed","To be determined","Wellington","Cannons Creek","Social","1 - 5 million",2022-07-01,NA,2023-07-01,2024-10-01,2021-07-01,2024-10-01,1,1,0,1188,1188,0,1,5,1,0,1,18,68.294,3.342884,69.83852,2.715554,2.26157495534016,-18.7661312806547
"kaOrProject_750","2024-Q3","Bellona Pl  (EPCCNEB), Cannons Creek Porirua","In procurement","Funding source confirmed","To be determined","Wellington","Cannons Creek","Social","1 - 5 million",2022-07-01,NA,2023-04-01,2024-10-01,2021-07-01,2024-10-01,1,1,0,1188,1188,0,1,5,1,0,1,18,68.294,3.342884,69.83852,2.715554,2.26157495534016,-18.7661312806547
"kaOrProject_758","2024-Q3","Dominion Rd , Mt Roskill Auckland","In procurement","Funding source confirmed","To be determined","Auckland","Mount Roskill","Social","5 - 25 million",2022-07-01,NA,NA,2025-04-01,2021-07-01,2025-04-01,1,1,0,1370,1370,0,5,25,1,0,1,1,68.294,3.342884,70.79394,2.389024,3.66055583213754,-28.5340442563966
"kaOrProject_768","2024-Q3","Lambeth Road , Sandringham, Auckland  (OL)","Under construction","Fully funded","Direct","Auckland","Sandringham","Social","5 - 25 million",2023-04-01,NA,2024-04-01,2025-04-01,2020-07-01,2025-04-01,1,1,0,1735,1735,0,5,25,0,0,1,1,58.01,1.453488,70.79394,2.389024,22.0374762971902,64.3648932774127
"kaOrProject_769","2024-Q3","Roskill South  MRRSB","Under construction","Fully funded","To be determined","Auckland","Mount Roskill","Social","< 1 million",NA,NA,2023-01-01,2026-10-01,2023-01-01,2026-10-01,1,1,0,1369,1369,0,1,1,0,0,1,1,69.505,7.219251,74.1876,2.0319,6.7370692755917,-71.8544209087619
"kaOrProject_781","2024-Q3","Holland Rd  & Davey Pl , Hamilton (OSM)","Under construction","Fully funded","To be determined","Waikato","Fairfield","Social","5 - 25 million",2022-10-01,NA,2023-10-01,2024-07-01,2021-07-01,2024-07-01,1,1,0,1096,1096,0,5,25,0,0,1,16,68.294,3.342884,69.52124,3.42672,1.79699534366124,2.5078943810195
"kaOrProject_820","2024-Q3","Yvonne St , Hamilton (OSM)","In planning","Funding source confirmed","To be determined","Waikato","Melville","Social","1 - 5 million",NA,NA,NA,2025-01-01,2021-07-01,2025-01-01,1,1,0,1280,1280,0,1,5,1,1,1,16,68.294,3.342884,70.23492,2.514151,2.8420066184438,-24.7909589444324
"kaOrProject_829","2024-Q3","Aileen Pl , Hamilton (OSM)","Under construction","Fully funded","To be determined","Waikato","Nawton","Social","5 - 25 million",2022-10-01,NA,2023-10-01,2024-07-01,2021-07-01,2024-07-01,1,1,0,1096,1096,0,5,25,0,0,1,16,68.294,3.342884,69.52124,3.42672,1.79699534366124,2.5078943810195
"kaOrProject_839","2024-Q3","Wood St , Wainuiomata, Lower Hutt","In planning","Funding source confirmed","Direct","Wellington","Wainuiomata","Social","25 - 50 million",NA,NA,NA,2026-04-01,2019-10-01,2026-04-01,1,1,0,2374,2374,0,25,50,1,1,1,18,64.868,1.464844,73.10828,2.067911,12.7031510143676,41.1693668404281
"kaOrProject_843","2024-Q3","Hinemoa St , Spreydon, Christchurch","Under construction","Fully funded","To be determined","Canterbury","Spreydon","Social","1 - 5 million",2022-07-01,NA,2023-10-01,2024-07-01,2020-04-01,2024-07-01,1,1,0,1552,1552,0,1,5,0,0,1,3,64.568,2.534113,69.52124,3.42672,7.67135423119813,35.2236463014869
"kaOrProject_868","2024-Q3","Whites Line East , Waiwhetu North, Lower Hutt","In procurement","Funding source confirmed","To be determined","Wellington","Waiwhetu","Social","1 - 5 million",2022-10-01,NA,NA,2025-01-01,2021-01-01,2025-01-01,1,1,0,1461,1461,0,1,5,1,0,1,18,66.279,1.436782,70.23492,2.514151,5.9685873353551,74.9848620041175
